major_version,version-1,count-1,version-2,count-2
0,0.7,15,0.8,12
1,1.0,20,1.1,8
2,2.4.1,5,2.3.2,4
3,3.6.0,58,3.6.1,52
4,4.10.4,46,4.4.0,34
5,5.3.1,72,5.4.0,34
6,6.6.0,49,6.3.0,45
7,7.5.0,42,7.1.0,37
8,8.9.0,53,8.7.0,47
9,9.10.0,53,9.3.0,48
10,10.0.0,20,10.1.0,4
