library,type,old_version,new_version,commit_date
commons-httpclientcommons-httpclient,"add","","3.1",2013-12-10T16:07:21Z
org.apache.lucenelucene-benchmark,"add","","4.2.1",2013-12-09T12:47:51Z
org.jsoupjsoup,"add","","1.7.3",2013-12-10T16:07:21Z
org.apache.lucenelucene-analyzers,"remove","3.6.2","",2013-12-09T12:47:51Z
log4jlog4j,"add","","1.2.17",2013-12-10T16:07:21Z
jtidyjtidy,"remove","4aug2000r7-dev","",2013-12-10T17:44:27Z
